region,district,settlement,settlement_type,latitude,longitude,landscape,atlas_system,question_type,question_id,question,linguistic_unit_1,linguistic_unit_2,linguistic_unit_3,comment,source,year
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,[ɣ] фрикативный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Алнашский район,Алнаши,село,56.1873,52.4794,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,изба,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,проливень,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,поляна,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Вавожский район,Вавож,село,56.7752,51.93,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,-ут/-ют,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Граховский район,Грахово,село,56.0505,51.9675,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,аканье,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Завьяловский район,Завьялово,село,56.7869,53.3719,пригородная равнина,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,[g] взрывной,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Игринский район,Игра,посёлок,57.5549,53.0544,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,дом,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,дождь стеной,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Каракулинский район,Каракулино,село,56.0124,53.7069,долина Камы,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,чистина,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.897,53.7132,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,вариативное окончание,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2744,51.5082,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,смешанный тип,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
