region,district,settlement,settlement_type,latitude,longitude,landscape,atlas_system,question_type,question_id,question,linguistic_unit_1,linguistic_unit_2,linguistic_unit_3,comment,source,year
Удмуртская Республика,Киясовский район,Киясово,село,56.3463,53.1241,южная равнина,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,[h] придыхательный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Красногорский район,Красногорское,село,57.7047,52.5008,северо-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,хата,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,косохлёст,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Малая Пурга,село,56.5561,52.9945,южная равнина,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,ляда,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Селтинский район,Селты,село,57.3143,52.1343,западное плато,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,-ат/-ят,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Сюмсинский район,Сюмси,село,57.111,51.6152,западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,оканье,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9907,52.185,центральная равнина,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,[ɣ] фрикативный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Шарканский район,Шаркан,село,57.2989,53.8717,восточная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,изба,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,проливень,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Якшур-Бодьинский район,Якшур-Бодья,село,57.1834,53.1562,центральная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,аканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,чистина,поляна,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,проливень,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2457,52.1058,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,оканье,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,-ут/-ют,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Малопургинский район,Пугачёво,село,56.5451,52.7264,южная равнина,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,дом,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ДАРЯ,ДАРЯ: фонетика,1,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ДАРЯ,ДАРЯ: морфология,2,Тип безударного вокализма после твёрдых согласных,смешанный тип,аканье,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ДАРЯ,ДАРЯ: синтаксис,3,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / природа,1,Название открытого места в лесу,ляда,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / человек,2,Название сильного дождя,дождь стеной,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
Удмуртская Республика,Воткинский район,Новый,посёлок,56.7508,53.0622,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,3,Название традиционного сельского дома,изба,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса,2026
